Date,Tweet,Stock Name,Company Name,cleaned_tweet
2022-09-24 16:44:06+00:00,"How to trade Major and minor pivotal Support &amp; Resistance! 

This is a great explanation of how I breakdown intraday price action.

$SPY $QQQ $TSLA $AAPL https://t.co/QJ6ivUh2Sf",TSLA,"Tesla, Inc.",how to trade major and minor pivotal support amp resistance this is a great explanation of how i breakdown intraday price action spy qqq tsla aapl
2022-08-17 17:34:20+00:00,"84 target achieved. $TSLA 906 to 916. 

84 to 66. 63 to 84. 

Substack folks could get all of these intraday updates free, link in my pinned 📌 tweet. 

May be back AFTER FOMC if I see something useful 👍",TSLA,"Tesla, Inc.",84 target achieved tsla 906 to 916 84 to 66 63 to 84 substack folks could get all of these intraday updates free link in my pinned tweet may be back after fomc if i see something useful
2022-08-11 05:52:08+00:00,"@ICannot_Enough @elonmusk I often hit intraday highs of $42.0.

$TSLA",TSLA,"Tesla, Inc.",i often hit intraday highs of 420 tsla
2022-08-10 13:43:04+00:00,"$TSLA intraday high +$42.0 after @elonmusk’s $6.9B sale.

Simulation confirmed. https://t.co/dl433KljzY",TSLA,"Tesla, Inc.",tsla intraday high 420 after s 69b sale simulation confirmed
2022-07-05 20:11:56+00:00,"Strong move today for $TSLA hitting an intraday low of $648.50 (-4.8%) and closing the day at $699.20 (+2.55%)!

Congratulations to the ones with strong hard balls during these turbulent times. 👊",TSLA,"Tesla, Inc.",strong move today for tsla hitting an intraday low of 64850 48 and closing the day at 69920 255 congratulations to the ones with strong hard balls during these turbulent times
2022-06-16 21:38:33+00:00,"How to improve Risk Management:

•15% max SL on options

•Aim for 1:2 or 1:3 risk to reward ratio

•NO breakout trading

•Dip/Zone entries on or near key levels/indicators

•5/10/15 minute charts intraday for clear price action

•NO trading the open

$SPY $QQQ $TSLA $AAPL",TSLA,"Tesla, Inc.",how to improve risk management 15 max sl on options aim for 12 or 13 risk to reward ratio no breakout trading dipzone entries on or near key levelsindicators 51015 minute charts intraday for clear price action no trading the open spy qqq tsla aapl
2022-06-08 19:10:38+00:00,"$TSLA retesting intraday breakout level 
still think $TSLA fills back its gap at $770 https://t.co/It2fLYZhsT",TSLA,"Tesla, Inc.",tsla retesting intraday breakout level still think tsla fills back its gap at 770
2022-05-20 16:48:35+00:00,"When is the last time $TSLA was down over 10% intraday on no news day? Pretty crazy. Everyone decided to just flush their shares. Could be sign of market finally bottoming. When you sell everything, that's a sign.",TSLA,"Tesla, Inc.",when is the last time tsla was down over 10 intraday on no news day pretty crazy everyone decided to just flush their shares could be sign of market finally bottoming when you sell everything thats a sign
2022-05-13 16:02:50+00:00,"$TSLA
@unusual_whales you really built a nice tool, lot of intraday information , testing it out 
Well done👏 https://t.co/jZl6LsrHXb",TSLA,"Tesla, Inc.",tsla you really built a nice tool lot of intraday information testing it out well done
2022-05-12 17:55:40+00:00,Another 7% $TSLA intraday pullback.,TSLA,"Tesla, Inc.",another 7 tsla intraday pullback
2022-05-06 14:18:56+00:00,"$VIX Rejection from 35
$AMD $AAPL strongest names and other names trying to reclaim intraday bullish trend and Call Flow coming in for $TSLA $AMD $NVDA",TSLA,"Tesla, Inc.",vix rejection from 35 amd aapl strongest names and other names trying to reclaim intraday bullish trend and call flow coming in for tsla amd nvda
2022-04-29 18:15:10+00:00,"It's sad to see $TSLA once again lose ALL intraday gains after being up over 4% earlier today. These markets are getting old. I mean, after the worst April in history, you'd think it would attract some dip buyers. We'll see them. The question is when? S&amp;P at key level of 4,170.",TSLA,"Tesla, Inc.",its sad to see tsla once again lose all intraday gains after being up over 4 earlier today these markets are getting old i mean after the worst april in history youd think it would attract some dip buyers well see them the question is when sampp at key level of 4170
2022-04-28 14:02:56+00:00,"The largest ever discount to $TSLA Stephenson Indicator™️ was last month, on March 14th, at $152.56.

At today’s intraday low of $830, the discount to Stephenson Indicator™️ was $143.01. 👀

Not trading advice.

https://t.co/LnFAUr3ssU",TSLA,"Tesla, Inc.",the largest ever discount to tsla stephenson indicator was last month on march 14th at 15256 at todays intraday low of 830 the discount to stephenson indicator was 14301 not trading advice
2022-04-21 20:48:15+00:00,"It's funny when you hear all these ""experts"" talking today about $TSLA on how amazing of a qtr they had, margins were off the charts, YOY growth is unthinkable, blah blah blah...stock sells off 8% intraday. https://t.co/9tKZfer7og",TSLA,"Tesla, Inc.",its funny when you hear all these experts talking today about tsla on how amazing of a qtr they had margins were off the charts yoy growth is unthinkable blah blah blahstock sells off 8 intraday
2022-04-17 18:32:47+00:00,"Good afternoon fam,

Like “♥️” this tweet if you want me to drop a video tonight explaining How I caught the top twice and bottom on $SPY intraday and scored bagger plays back to back 💰

$AMD $NVDA $QQQ $TSLA https://t.co/pTNSAoi9nq",TSLA,"Tesla, Inc.",good afternoon fam like this tweet if you want me to drop a video tonight explaining how i caught the top twice and bottom on spy intraday and scored bagger plays back to back amd nvda qqq tsla
2022-03-28 15:48:24+00:00,"I turned bear 🐻 on close at Friday 4540 and today we have not been able to bid above it, rallies have been sold (as of 11 am) and now we are below my LIS intraday.. 

I was one of few bears like Julia, most were bull 🐮

See my plan below $SPY $QQQ $TSLA

https://t.co/i422FhFutB",TSLA,"Tesla, Inc.",i turned bear on close at friday 4540 and today we have not been able to bid above it rallies have been sold as of 11 am and now we are below my lis intraday i was one of few bears like julia most were bull see my plan below spy qqq tsla
2022-03-07 19:00:37+00:00,$TSLA down $60 or 6% intraday. https://t.co/DgZBUT5c3V,TSLA,"Tesla, Inc.",tsla down 60 or 6 intraday
